"ds","y"
2020-01-19 01:04:37,3.26
2020-01-18 23:06:59,3.7
2020-01-18 20:53:58,4.1
2020-01-18 20:33:25,3
2020-01-18 20:05:55,4.4
2020-01-18 19:48:12,2.6
2020-01-18 19:37:38,2.9
2020-01-18 18:57:57,2.8
2020-01-18 18:12:16,3.32
2020-01-18 17:47:20,3.53
2020-01-18 14:36:58,3.1
2020-01-18 14:13:08,3.23
2020-01-18 13:42:29,2.5
2020-01-18 12:57:01,3.51
2020-01-18 11:27:29,3.21
2020-01-18 09:29:09,2.95
2020-01-18 07:18:57,3.15
2020-01-18 06:22:09,2.8
2020-01-18 04:47:16,3.54
2020-01-18 04:44:35,3.8
2020-01-18 04:34:06,3.73
2020-01-18 02:59:12,4.01
2020-01-18 00:36:14,3.1
2020-01-17 23:39:51,3.1
2020-01-17 22:59:04,2.42
2020-01-17 21:29:59,3.1
2020-01-17 18:02:36,4.3
2020-01-17 15:48:12,3.74
2020-01-17 15:40:08,3.51
2020-01-17 13:52:35,3.1
2020-01-17 13:38:13,2.25
2020-01-17 13:30:52,3.8
2020-01-17 11:13:17,3.1
2020-01-17 11:01:06,3.2
2020-01-17 09:03:07,2.78
2020-01-17 08:52:17,3.93
2020-01-17 07:55:24,3.1
2020-01-17 06:32:59,4.2
2020-01-17 06:17:07,3
2020-01-17 06:03:54,3.2
2020-01-17 05:54:59,3.4
2020-01-17 05:49:38,3.5
2020-01-17 05:18:11,3.3
2020-01-17 05:02:37,3.46
2020-01-17 04:25:53,3.5
2020-01-17 03:28:41,3.45
2020-01-17 02:47:36,3.5
2020-01-17 00:16:29,2.9
2020-01-16 23:19:27,3
2020-01-16 22:47:52,3.1
2020-01-16 22:14:36,2.9
2020-01-16 21:46:07,3.04
2020-01-16 21:32:52,2.7
2020-01-16 20:48:06,3.3
2020-01-16 20:18:56,3.17
2020-01-16 19:38:39,3.78
2020-01-16 19:18:28,3.4
2020-01-16 18:07:55,3.2
2020-01-16 17:21:08,3.29
2020-01-16 17:15:19,3.8
2020-01-16 16:58:47,4.3
2020-01-16 16:37:16,2.88
2020-01-16 15:24:14,3.55
2020-01-16 14:34:37,3.8
2020-01-16 14:16:33,2.49
2020-01-16 14:06:46,1.78
2020-01-16 12:52:51,3.03
2020-01-16 12:12:56,3.35
2020-01-16 10:36:19,2.93
2020-01-16 10:23:47,3.04
2020-01-16 10:22:45,2.97
2020-01-16 09:53:00,3.68
2020-01-16 09:21:41,3.2
2020-01-16 09:18:55,3.2
2020-01-16 09:09:57,3.9
2020-01-16 08:45:15,2.9
2020-01-16 08:33:26,3
2020-01-16 07:23:13,3
2020-01-16 07:20:06,3.2
2020-01-16 06:47:26,3.4
2020-01-16 04:41:24,3.2
2020-01-16 03:46:56,2.7
2020-01-16 03:16:45,3.2
2020-01-16 02:28:48,3.1
2020-01-16 01:58:44,3.4
2020-01-16 00:01:33,2.72
2020-01-15 23:55:34,3.4
2020-01-15 23:27:39,2.38
2020-01-15 23:02:56,3.4
2020-01-15 22:51:23,4
2020-01-15 22:14:48,3.32
2020-01-15 21:56:37,2.9
2020-01-15 21:48:57,2.8
2020-01-15 20:24:48,3.63
2020-01-15 19:30:59,3.1
2020-01-15 18:45:37,3
2020-01-15 17:47:15,2.89
2020-01-15 17:41:10,3.54
2020-01-15 17:34:07,2.11
2020-01-15 17:29:55,2.48
2020-01-15 17:16:16,2.54
2020-01-15 17:08:05,3.7
2020-01-15 17:06:58,2.2
2020-01-15 16:50:51,2.8
2020-01-15 16:32:01,2.46
2020-01-15 16:27:53,4.1
2020-01-15 16:21:05,3.16
2020-01-15 16:11:18,2.68
2020-01-15 16:00:40,4
2020-01-15 15:52:14,3.5
2020-01-15 15:49:47,3.9
2020-01-15 15:12:49,3.48
2020-01-15 14:52:51,2.84
2020-01-15 14:50:53,2.51
2020-01-15 14:42:06,2.39
2020-01-15 14:38:03,2.2
2020-01-15 14:23:14,2.57
2020-01-15 13:40:46,2.22
2020-01-15 13:34:57,2.99
2020-01-15 13:27:50,2.66
2020-01-15 13:20:41,2.56
2020-01-15 13:17:14,2.5
2020-01-15 13:04:53,2.47
2020-01-15 13:02:22,2.92
2020-01-15 13:01:08,2.05
2020-01-15 12:58:45,1.26
2020-01-15 12:53:42,2
2020-01-15 12:36:56,3.1
2020-01-15 12:27:06,2.32
2020-01-15 12:19:37,2.6
2020-01-15 12:18:13,1.82
2020-01-15 12:13:35,2.67
2020-01-15 12:10:01,2.85
2020-01-15 12:05:01,2.88
2020-01-15 12:03:58,2.35
2020-01-15 12:01:00,1.97
2020-01-15 11:36:23,5.2
2020-01-15 10:54:43,2.68
2020-01-15 10:33:31,2.63
2020-01-15 10:17:55,2.58
2020-01-15 10:16:06,2.03
2020-01-15 10:05:08,2.57
2020-01-15 08:54:14,2.65
2020-01-15 08:38:07,2.31
2020-01-15 08:21:33,2.7
2020-01-15 08:18:20,1.95
2020-01-15 07:41:39,2.81
2020-01-15 07:24:04,2.42
2020-01-15 06:40:48,1.93
2020-01-15 06:28:41,2.59
2020-01-15 06:01:30,2.06
2020-01-15 05:36:34,2.47
2020-01-15 05:34:07,2.06
2020-01-15 05:07:18,3
2020-01-15 04:44:33,2.84
